source,target,tgt_lng
Hidden Layer,隐藏层,
Output Layer,输出层,
Simple Artificial Neural Network,简单人工神经网络,
tanh activated,tanh激活,
static dataset,静态数据集,
random static babbling,随机静态巴布林数据,
Positional,位置,
coordinates,坐标,
Actuations,驱动,
Pressures,压力,
Inconsistent training set,不一致的训练集,
configurations,配置,
robot model,机器人模型,
redundancies,冗余,
IK problem,逆运动学问题,
Output gate,输出门,
linear layer,线性层,
Inputs,输入,
Reinforcement Learning,强化学习,
Machine Learning,机器学习,
Agent,智能体,
Environment,环境,
Cumulative Reward,累积奖励,
Agent-Environment Loop,智能体-环境循环,
State,状态,
Action,动作,
Reward,奖励,
Policy,策略,
Closed-loop Dynamic Controller,闭环动态控制器,
TRPO,TRPO,
Trust Region Policy Optimization,信任域策略优化,
J. Schulman,J. Schulman,
2015,2015年,
Actions,动作,
Random Trajectories Generation,随机轨迹生成,
Manipulator,机械臂,
frequency,频率,
trajectories,轨迹,
steady-state assumption,稳态假设,
end-effector positions,末端执行器位置,
controller,控制器,
cartesian space,笛卡尔空间,
O.L Controller,开环控制器,
motor system,运动系统,
central nervous system,中枢神经系统,
movements,运动,
sensory inputs,感觉输入,
sensory receptors,感觉受体,
motor outputs,运动输出,
muscles,肌肉,
Mammalian,哺乳动物,
feedback delays,反馈延迟,
Controlled object,被控对象,
Gain,增益,
Stiffness,刚度,
Viscosity,粘度,
Desired trajectory,期望轨迹,
Feedback motor command,反馈电机指令,
data availability,数据可用性,
task structure,任务结构,
Aspect,维度,
Sensorimotor delays,感觉运动延迟,
Stochastic process,随机过程,
animal movement control,动物运动控制,
Forward model,正向模型,
Random trajectory,随机轨迹,
Reward function,奖励函数,
Closed-loop controller,闭环控制器,
"Centurelli, A.","Centurelli, A.",
"Arleo, L.","Arleo, L.",
"Rizzo, A.","Rizzo, A.",
"Tolu, S.","Tolu, S.",
"Laschi, C.","Laschi, C.",
"Falotico, E.","Falotico, E.",
Soft Manipulator,软体机械臂,
Deep Reinforcement Learning,深度强化学习,
IEEE Robotics and Automation Letters,IEEE机器人与自动化快报,
Long-short Term Memory,长短期记忆网络,
Cell state,细胞状态,
long-term memory,长期记忆,
Hidden state,隐藏状态,
short-term memory,短期记忆,
Forget gate,遗忘门,
Update gate,更新门,
open-loop controller,开环控制器,
Perturbed Handover,扰动切换,
linear models,线性模型,
obstacles,障碍物,
Orientation,方向,
Z axis,Z轴,
Learning closed loop kinematic controllers,闭环运动学控制器学习,
Inverse Kinematics,逆运动学,
Txtar,Txtar,
task-space,任务空间,
actuation space,驱动空间,
MODULAR APPROACH,模块化方法,
WATER-PROOF COVER,防水外壳,
EXCHANGABLE END-EFFECTOR,可更换末端执行器,
Manti M,Manti M,
Pratesi A,Pratesi A,
Falotico E,Falotico E,
Cianchetti M,Cianchetti M,
Laschi C,Laschi C,
Soft Assistive Robot,软体辅助机器人,
Conf Proc IEEE on Biomedical Robotics and Biomechatronics,IEEE生物医学机器人与生物机电一体化会议论文集,
BioRob 2016,BioRob 2016,
Ansari Y,Ansari Y,
Mollard Y,Mollard Y,
International Journal of Advanced Robotics Systems,《国际先进机器人系统杂志》,
I-Support,I-Support,
service robotics system,服务机器人系统,
bathing tasks,洗浴任务,
LSTM cell,LSTM单元,
cell,单元,
time series predictions,时间序列预测,
actuation,驱动,
Recurrent representation,循环表示,
Unrolled representation,展开表示,
Ground truth,真值,
Controller network,控制器网络,
Txee,Txee,
Long- short Term Memory,长短期记忆网络,
Recurrent Neural network,循环神经网络,
Closed-loop Dynamic Control,闭环动态控制,
adaptive filters,自适应滤波器,
2022,2022年,
Near-monotonic improvement,近单调改进,
hypeparameter tuning,超参数调整,
off-policy,异策略,
continuous and unstable environments,连续不稳定环境,
Trust Region,信任域,
Importance sampling,重要性采样,
data efficiency,数据效率,
Movement control,运动控制,
Humans,人类,
animals,动物,
brain regions,脑区,
state-estimation,状态估计,
prediction,预测,
internal models,内部模型,
artificial systems,人工系统,
tanh,双曲正切函数,
linear,线性,
Random Trajectories,随机轨迹,
task space,任务空间,
dataset T,数据集T,
C.L Controller,闭环控制器,
Feedback,反馈,
Delay,延迟,
Sensory system,感觉系统,
proprioception,本体感觉,
vision,视觉,
audio,听觉,
Inverse Model,逆模型,
Architecture,架构,
inertial reference frame,惯性参考系,
Vestibulo-Collic Reflex,前庭颈反射,
motor signals,运动信号,
Opto-Kinetic Reflex,视动反射,
retinal images,视网膜图像,
Vestibulo-Ocular Reflex,前庭眼反射,
retina,视网膜,
Gaze stabilization,凝视稳定,
feedback control loop,反馈控制回路,
proportional feedback gain,比例反馈增益,
Delays,延迟,
integrator region,整合区,
delayed sensory feedback,延迟感觉反馈,
body state,身体状态,
Integration,整合,
muscle commands,肌肉指令,
motor centres,运动中心,
Body,身体,
Realized trajectory,实际轨迹,
Feedback controller,反馈控制器,
state trajectory,状态轨迹,
muscle/motor commands,肌肉/运动指令,
disturbances,扰动,
feedforward controller,前馈控制器,
Feedforward motor command,前馈运动指令,
Motor command generator,运动指令生成器,
feedforward,前馈,
controllers,控制器,
Feedback Error Learning,反馈误差学习,
Direct Inverse modeling,直接逆建模,
offline,离线,
plant,受控对象,
online,在线,
M. Kawato,M. Kawato,
K. Furukawa,K. Furukawa,
R. Suzuki,R. Suzuki,
Biological cybernetics,生物控制论,
learning control system,学习控制系统,
Miller,Miller,
feed-forward controller,前馈控制器,
F. H. Glanz,F. H. Glanz,
L. G. Kraft,L. G. Kraft,
Cmas,Cmas,
associative neural network,联想神经网络,
backpropagation,反向传播,
Proceedings of the IEEE,IEEE会刊,
Motor learning,运动学习,
CNS,中枢神经系统,
feedback loop,反馈回路,
cerebellar-like learner,类小脑学习器,
distal supervised learning,远端监督学习,
recurrent architecture,循环架构,
one-to-many mapping,一对多映射,
internal feedback loop,内部反馈回路,
motor errors,运动误差,
"Kawato, M.","Kawato, M.",
Feedback-error-learning neural network,反馈误差学习神经网络,
supervised motor learning,监督运动学习,
Advanced neural computers,高级神经计算机,
North-Holland,North-Holland,
1987,1987年,
Kawato,Kawato,
feed-forward control architecture,前馈控制架构,
cerebellar learning system,小脑学习系统,
inverse-dynamics model,逆动力学模型,
robotic manipulator,机器人机械臂,
Perceptron,感知机,
motor pattern,运动模式,
reference angular trajectory,参考角轨迹,
feedback torque,反馈转矩,
teaching signal,示教信号,
controlled plant,被控对象,
A hierarchical neural-network model,分层神经网络模型,
voluntary movement,随意运动,
Total motor command,总运动指令,
Efference copy,传出副本,
sensorimotor control,感知运动控制,
variability,变异性,
Delayed Measurements,延迟测量,
likelihood,似然,
internal-belief,内部信念,
original state,原始状态,
posterior estimate,后验估计,
VOR,前庭眼反射,
neural circuit,神经网络,
Distal learning,远端学习,
M. I. Jordan,M. I. Jordan,
D. E. Rumelhart,D. E. Rumelhart,
Forward models,前向模型,
Cognitive science,认知科学,
1992,1992年,
perceived error,感知误差,
Feed-forward pathway,前馈通路,
VOR neural circuit,VOR神经回路,
Variable plant,变参数对象,
Applications,应用,
learning rule,学习规则,
feedback error,反馈误差,
motor error,运动误差,
corrective action,校正动作,
controller command,控制器指令,
cerebellar degeneration disease,小脑变性疾病,
T. Honda,T. Honda,
S. Nagao,S. Nagao,
Y. Hashimoto,Y. Hashimoto,
K. Ishikawa,K. Ishikawa,
T. Yokota,T. Yokota,
H. Mizusawa,H. Mizusawa,
M. Ito,M. Ito,
Tandem internal models,串联内部模型,
Proceedings of the National Academy of Sciences,美国国家科学院院刊,
2018,2018年,
feedback control,反馈控制,
pre-motor regions,前运动区,
"Dean, P.","Dean, P.",
"Porrill, J.","Porrill, J.",
"Ekerot, C. F.","Ekerot, C. F.",
"Jörntell, H.","Jörntell, H.",
2010,2010年,
cerebellar microcircuit,小脑微环路,
adaptive filter,自适应滤波器,
Nature Reviews Neuroscience,Nature Reviews Neuroscience,
2004,2004年,
motor-error problem,运动误差问题,
Proceedings of the Royal Society of London. Series B: Biological Sciences,Proceedings of the Royal Society of London. Series B: Biological Sciences,
"Stone, J. V.","Stone, J. V.",
sensory fields,感觉场,
input-output mapping,输入输出映射,
supervised learning algorithm,监督学习算法,
cerebellar-like controller,类小脑控制器,
1980s,20世纪80年代,
W. T. Miller,W. T. Miller,
IEEE,IEEE,
Feed-forward,前馈,
pathway,通路,
Head,头部,
anticipatory control,预期控制,
future trajectory,未来轨迹,
hand,手,
ANN,人工神经网络,
engagement,交互意向,
"Vannucci, L.","Vannucci, L.",
"Cacucciolo, V.","Cacucciolo, V.",
"Dario, P.","Dario, P.",
"Lund, H. H.","Lund, H. H.",
2017,2017年,
cerebellar internal models,小脑内部模型,
Bioinspiration & Biomimetics,Bioinspiration & Biomimetics,
Motor,运动,
command,指令,
